date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:33:56	25727/25727	---M--	200	added ('OK')	image/jpeg	etag:%226272b9d2-647f%22	https://image.tmdb.org/t/p/w300/40qxr2p2s297Q1mWFJOsRatQPK0.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/40qxr2p2s297Q1mWFJOsRatQPK0.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:33:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:13%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/fGQAO4RgUzspO7L4u5KXirIn34s.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/fGQAO4RgUzspO7L4u5KXirIn34s.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:01	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:17%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/fGQAO4RgUzspO7L4u5KXirIn34s.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/fGQAO4RgUzspO7L4u5KXirIn34s.12.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:02	31455/31455	---M--	200	added ('OK')	image/jpeg	etag:%226272bc66-7adf%22	https://image.tmdb.org/t/p/w300/fGQAO4RgUzspO7L4u5KXirIn34s.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/fGQAO4RgUzspO7L4u5KXirIn34s.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:18%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3Qfav5aVRcZmq854olMjJ795JJ2.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3Qfav5aVRcZmq854olMjJ795JJ2.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:07	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:24%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3Qfav5aVRcZmq854olMjJ795JJ2.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3Qfav5aVRcZmq854olMjJ795JJ2.15.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:08	27202/27202	---M--	200	added ('OK')	image/jpeg	etag:%226272b7fc-6a42%22	https://image.tmdb.org/t/p/w300/3Qfav5aVRcZmq854olMjJ795JJ2.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/3Qfav5aVRcZmq854olMjJ795JJ2.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:24%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/doyiGwpxbBs4G2og9G8gV7ZKoih.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/doyiGwpxbBs4G2og9G8gV7ZKoih.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:12	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:28%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/doyiGwpxbBs4G2og9G8gV7ZKoih.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/doyiGwpxbBs4G2og9G8gV7ZKoih.18.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:12	26559/26559	---M--	200	added ('OK')	image/jpeg	etag:%22627369eb-67bf%22	https://image.tmdb.org/t/p/w300/doyiGwpxbBs4G2og9G8gV7ZKoih.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/doyiGwpxbBs4G2og9G8gV7ZKoih.jpg	(from https://wtach.club/en/movie/436270/black-adam)
